0116-20,0300,0116-3,** no desc for part,2.0000,,F,EA
10050,0100,10050-00,"72"" TV KIOSK",1.0000,,F,EA
10050-00,0100,10050-900,RIGHT SIDE BRACKET,2.0000,,F,EA
10050-00,0200,10050-901,LEFT SIDE BRACKET,2.0000,,F,EA
10050-00,0300,10050-903,SMALL CHANNEL,56.0000,,F,EA
10050-00,0400,10050-904,LARGE CHANNEL,18.0000,,F,EA
10051,0100,10051-00,"24"" ACCESSORY KIOSK",1.0000,,F,EA
10051-00,0100,10051-900,RIGHT SIDE BRACKET,2.0000,,F,EA
10051-00,0200,10051-902,LFT SIDE BRACKET,2.0000,,F,EA
10052,0100,10052-00,"24"" HOME PHONE KIOSK",1.0000,,F,EA
10052-00,0100,10052-900,ALUM Z BRACKET,2.0000,,F,EA
10052-00,0200,10052-902,BRACKET EXTRUSION,1.0000,,F,EA
10053,0100,10053-00,"36"" HOME PHONE KIOSK",1.0000,,F,EA
10053-00,0100,10052-900,ALUM Z BRACKET,2.0000,,F,EA
10053-00,0200,10052-902,BRACKET EXTRUSION,1.0000,,F,EA
10100,0100,10100-00,TWO PERSON STOOL COUNTER,1.0000,,F,EA
10102,0100,10100-00,TWO PERSON STOOL COUNTER,1.0000,,F,EA
10102,0300,10101-00,Stool Counter Side Cabinet,1.0000,,F,EA
10112,0100,10112-00,EXTERNAL MONITOR MOUNT,1.0000,,F,EA
10112,0200,10112-650,HANGER RAIL,2.0000,,F,EA
10114,0100,10114-00,DISPLAY TREE,1.0000,,F,EA
10114,0200,10114-10,LOWER TREE ASSEMBLY,1.0000,,F,EA
10114,0300,10114-20,BASE ASSEMBLY,1.0000,,F,EA
10115,0100,10115-00,POS COUNTER,1.0000,,F,EA
10115,0200,10115-01,BACK ASSEMBLY,1.0000,,F,EA
10115,0400,10116-00,ADA COUNTER,1.0000,,F,EA
10115,0500,10116-100,ADA COUNTER TOP,1.0000,,F,EA
10117,0100,10117-400,FRT COUNTER FRT TRIM,1.0000,,F,EA
10117,0200,10117-401,FRT COUNTER SIDE TRIM,2.0000,,F,EA
